iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.02599249593913555
1000,-1.0,2.0,8,0.015644259750843048
1500,-1.0,2.0,8,0.010415356606245041
2000,-1.0,2.0,9,0.013353906571865082
2500,-1.0,2.0,8,0.005573452450335026
3000,-0.88,2.12,8,0.008752698078751564
3500,-0.67,2.0,9,0.0028795567341148853
4000,-1.0,2.0,8,0.004414770752191544
4500,-1.0,2.0,9,0.004714050330221653
5000,-1.0,2.0,9,0.002424587495625019
5500,-1.0,2.0,8,0.004683502484112978
6000,-0.11,2.11,9,0.006833216175436974
6500,-0.22,2.0,9,0.0033488182816654444
7000,-0.38,2.0,8,0.0023033968172967434
7500,-0.12,2.0,8,0.004561402834951878
8000,-0.12,2.0,8,0.006637186743319035
8500,0.0,2.0,8,0.0037284051068127155
9000,0.0,2.0,8,0.0022817072458565235
9500,-0.12,2.0,8,0.002619669307023287
10000,-0.38,2.0,8,0.003156024497002363
10500,0.0,2.0,8,0.001177924103103578
11000,-0.12,2.0,8,0.0005932865315116942
11500,0.25,2.25,8,0.0017850989243015647
12000,0.0,2.0,8,0.0009789711330085993
12500,0.0,2.0,8,0.0055803218856453896
13000,0.12,2.12,8,0.00615724315866828
13500,0.25,2.38,8,0.0005788229173049331
14000,0.0,2.0,8,0.0008199101430363953
14500,0.12,2.12,8,0.002734328154474497
15000,0.0,2.12,8,0.00595175102353096
15500,0.12,2.12,8,0.0013845182256773114
16000,0.0,2.12,8,0.0023378527257591486
16500,0.22,2.44,9,0.0010757532436400652
17000,0.12,2.25,8,0.0046867853961884975
17500,0.7,3.2,10,0.0029063213150948286
18000,0.25,2.5,8,0.0025700863916426897
18500,0.38,2.62,8,0.004309652838855982
19000,0.62,2.75,8,0.003960130736231804
19500,0.25,2.38,8,0.001533655566163361
20000,0.5,2.62,8,0.0051111262291669846
20500,0.38,2.38,8,0.0011081886477768421
21000,0.38,2.5,8,0.00399734266102314
21500,0.0,2.0,8,0.0027281534858047962
22000,0.54,3.0,13,0.006452032830566168
22500,0.12,2.12,8,0.002971034962683916
23000,0.62,2.62,8,0.0018382903654128313
23500,0.5,2.5,8,0.0056137279607355595
24000,0.88,3.0,8,0.0023039623629301786
24500,0.25,2.25,8,0.0077159167267382145
25000,0.38,2.38,8,0.01152033917605877
25500,0.5,2.75,8,0.006080653518438339
26000,0.62,2.88,8,0.004264619667083025
26500,1.0,3.22,9,0.0032988041639328003
27000,1.11,3.44,9,0.011295164935290813
27500,0.62,2.75,8,0.0025926013477146626
28000,0.25,2.25,8,0.007752636447548866
28500,0.25,2.25,8,0.002055612625554204
